stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,tpis_name
692,692,Chase / Hazeltine,,34.225296,-118.44064,,,,
693,693,Chase / Katherine,,34.22485,-118.44319,,,,
694,694,Chase / Lennox,,34.224712,-118.44612,,,,
695,695,Chase / Ranchito,,34.226578,-118.43722,,,,
696,696,Van Nuys / Chase,,34.224491,-118.44891,,,,
697,697,Chase / Woodman,,34.227802,-118.43454,,,,
698,698,Lurline / Vintage,,34.251949,-118.58427,,,,
701,701,Buena Vista / Alameda,,34.158367,-118.32834,,,,
702,702,Riverside / Laurel Canyon,,34.157536,-118.39671,,,,
703,703,Chatsworth Station,,34.253384,-118.59904,,,,
705,705,Church / Farlin,,34.068142,-118.46308,,,,
706,706,Church / Homedale,,34.069309,-118.4641,,,,
707,707,Church / Joffre,,34.07053,-118.46523,,,,
708,708,Cal State La Transit Center,,34.063183,-118.16908,,,,
709,709,Western / Pacific Coast Highway,,33.789291,-118.30745,,,,
711,711,Western / Pacific Coast Highway,,33.789207,-118.30775,,,,
712,712,City Terrace / Lafler,,34.057438,-118.17353,,,,
713,713,City Terrace / Alma,,34.048752,-118.19201,,,,
714,714,City Terrace / Bonnie Beach,,34.055729,-118.18114,,,,
715,715,City Terrace / Ditman,,34.048843,-118.18925,,,,
717,717,City Terrace / Herbert,,34.055363,-118.1834,,,,
718,718,City Terrace / Rowan,,34.054291,-118.18755,,,,
719,719,City Terrace / Pomeroy,,34.050903,-118.18869,,,,
720,720,City Terrace / Van Pelt,,34.055901,-118.17679,,,,
